work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,id
2024,Mid-level,Full-time,Associate,259400,US,0,US,Medium (51–500 employees),97898
2024,Mid-level,Full-time,Associate,164800,US,0,US,Medium (51–500 employees),97899
2024,Junior,Full-time,Data Engineer,70000,ZA,0,ZA,Medium (51–500 employees),97904
2024,Junior,Full-time,Data Engineer,40000,ZA,0,ZA,Medium (51–500 employees),97905
2024,Senior-level,Full-time,Data Engineer,204200,US,0,US,Medium (51–500 employees),97906
2024,Senior-level,Full-time,Data Engineer,122600,US,0,US,Medium (51–500 employees),97907
2024,Senior-level,Full-time,Manager,163111,US,0,US,Medium (51–500 employees),97910
2024,Senior-level,Full-time,Manager,108740,US,0,US,Medium (51–500 employees),97911
2024,Senior-level,Full-time,Systems Engineer,175900,US,0,US,Medium (51–500 employees),97912
2024,Senior-level,Full-time,Systems Engineer,117300,US,0,US,Medium (51–500 employees),97913
2024,Mid-level,Full-time,QA Engineer,248700,US,0,US,Medium (51–500 employees),97916
2024,Mid-level,Full-time,QA Engineer,136300,US,0,US,Medium (51–500 employees),97917
2024,Mid-level,Full-time,Data Analyst,155000,US,100,US,Medium (51–500 employees),85107
2024,Mid-level,Full-time,Data Analyst,140000,US,100,US,Medium (51–500 employees),85108
2024,Senior-level,Full-time,Data Scientist,267600,US,0,US,Medium (51–500 employees),97926
2024,Senior-level,Full-time,Data Scientist,133800,US,0,US,Medium (51–500 employees),97927
2024,Mid-level,Full-time,Machine Learning Engineer,75600,US,0,US,Medium (51–500 employees),97929
2024,Junior,Full-time,Data Analytics Associate,60000,US,0,US,Medium (51–500 employees),97932
2024,Junior,Full-time,Data Analytics Associate,44000,US,0,US,Medium (51–500 employees),97933
2024,Mid-level,Full-time,Manager,84200,US,0,US,Medium (51–500 employees),97935
2024,Senior-level,Full-time,Manager,158950,US,0,US,Medium (51–500 employees),97941
2024,Senior-level,Full-time,Applied Scientist,184000,US,100,US,Medium (51–500 employees),97946
2024,Senior-level,Full-time,Engineer,135150,US,0,US,Medium (51–500 employees),97949
2024,Senior-level,Full-time,Data Lead,137972,US,0,US,Medium (51–500 employees),97950
2024,Senior-level,Full-time,Data Lead,82783,US,0,US,Medium (51–500 employees),97951
2024,Senior-level,Full-time,Manager,216000,US,0,US,Medium (51–500 employees),97955
2024,Mid-level,Full-time,Manager,151875,CA,0,CA,Medium (51–500 employees),97956
2024,Mid-level,Full-time,Manager,84375,CA,0,CA,Medium (51–500 employees),97957
2024,Senior-level,Full-time,Data Visualization Analyst,151770,US,0,US,Medium (51–500 employees),97958
2024,Senior-level,Full-time,Data Visualization Analyst,91062,US,0,US,Medium (51–500 employees),97959
2024,Senior-level,Full-time,Solutions Architect,185600,US,0,US,Medium (51–500 employees),97960
2024,Senior-level,Full-time,Solutions Architect,52800,US,0,US,Medium (51–500 employees),97961
2024,Senior-level,Full-time,Data Engineer,102000,US,0,US,Medium (51–500 employees),97963
2024,Mid-level,Full-time,Data Engineer,59000,US,0,US,Medium (51–500 employees),97965
2024,Mid-level,Full-time,Manager,159000,US,100,US,Medium (51–500 employees),97970
2024,Mid-level,Full-time,Manager,92600,US,100,US,Medium (51–500 employees),97971
2024,Junior,Full-time,Software Engineer,93109,CH,0,CH,Medium (51–500 employees),97972
